Angle,Intensity
16.635615453,3
16.63979327,3
16.643971087,10
16.648148904,7
16.652326722,9
16.656504539,9
16.660682356,5
16.664860173,15
16.669037991,8
16.673215808,5
16.677393625,4
16.681571442,5
16.68574926,11
16.689927077,9
16.694104894,5
16.698282711,7
16.702460529,9
16.706638346,10
16.710816163,5
16.71499398,4
16.719171798,3
16.723349615,8
16.727527432,9
16.731705249,8
16.735883066,4
16.740060884,11
16.744238701,10
16.748416518,7
16.752594335,11
16.756772153,5
16.76094997,11
16.765127787,7
16.769305604,9
16.773483422,11
16.777661239,11
16.781839056,5
16.786016873,9
16.790194691,9
16.794372508,7
16.798550325,13
16.802728142,5
16.80690596,7
16.811083777,8
16.815261594,3
16.819439411,5
16.823617229,7
16.827795046,8
16.831972863,4
16.83615068,4
16.840328498,5
16.844506315,2
16.848684132,3
16.852861949,4
16.857039767,8
16.861217584,9
16.865395401,3
16.869573218,11
16.873751036,7
16.877928853,4
16.88210667,7
16.886284487,4
16.890462305,4
16.894640122,8
16.898817939,5
16.902995756,5
16.907173574,5
16.911351391,7
16.915529208,3
16.919707025,10
16.923884842,13
16.92806266,5
16.932240477,5
16.936418294,9
16.940596111,4
16.944773929,8
16.948951746,5
16.953129563,7
16.95730738,5
16.961485198,11
16.965663015,8
16.969840832,7
16.974018649,5
16.978196467,3
16.982374284,5
16.986552101,7
16.990729918,8
16.994907736,4
16.999085553,9
17.00326337,7
17.007441187,7
17.011619005,8
17.015796822,3
17.019974639,5
17.024152456,3
17.028330274,3
17.032508091,9
17.036685908,9
17.040863725,8
17.045041543,14
17.04921936,4
17.053397177,10
17.057574994,8
17.061752812,8
17.065930629,7
17.070108446,2
17.074286263,13
17.078464081,9
17.082641898,5
17.086819715,4
17.090997532,2
17.09517535,3
17.099353167,9
17.103530984,3
17.107708801,7
17.111886618,7
17.116064436,2
17.120242253,5
17.12442007,9
17.128597887,5
17.132775705,7
17.136953522,10
17.141131339,9
17.145309156,9
17.149486974,5
17.153664791,7
17.157842608,7
17.162020425,5
17.166198243,4
17.17037606,5
17.174553877,5
17.178731694,4
17.182909512,5
17.187087329,8
17.191265146,5
17.195442963,5
17.199620781,9
17.203798598,10
17.207976415,5
17.212154232,5
17.21633205,5
17.220509867,10
17.224687684,3
17.228865501,2
17.233043319,11
17.237221136,5
17.241398953,10
17.24557677,8
17.249754588,3
17.253932405,11
17.258110222,4
17.262288039,5
17.266465857,7
17.270643674,2
17.274821491,5
17.278999308,7
17.283177126,7
17.287354943,7
17.29153276,3
17.295710577,8
17.299888395,13
17.304066212,7
17.308244029,4
17.312421846,7
17.316599663,2
17.320777481,4
17.324955298,7
17.329133115,4
17.333310932,10
17.33748875,9
17.341666567,7
17.345844384,9
17.350022201,7
17.354200019,13
17.358377836,5
17.362555653,7
17.36673347,10
17.370911288,7
