Angle,Intensity,,,,,,,,,,,,,,,,,
15.528493883,14,,,,,,,,,,,,,,,,,
15.5326717,9,,,,,,,,,,,,,,,,,
15.536849517,11,,,,,,,,,,,,,,,,,
15.541027335,7,,,,,,,,,,,,,,,,,
15.545205152,8,,,,,,,,,,,,,,,,,
15.549382969,9,,,,,,,,,,,,,,,,,
15.553560786,10,,,,,,,,,,,,,,,,,
15.557738604,5,,,,,,,,,,,,,,,,,
15.561916421,2,,,,,,,,,,,,,,,,,
15.566094238,7,,,,,,,,,,,,,,,,,
15.570272055,11,,,,,,,,,,,,,,,,,
15.574449873,10,,,,,,,,,,,,,,,,,
15.57862769,9,,,,,,,,,,,,,,,,,
15.582805507,9,,,,,,,,,,,,,,,,,
15.586983324,11,,,,,,,,,,,,,,,,,
15.591161141,4,,,,,,,,,,,,,,,,,
15.595338959,5,,,,,,,,,,,,,,,,,
15.599516776,5,,,,,,,,,,,,,,,,,
15.603694593,8,,,,,,,,,,,,,,,,,
15.60787241,9,,,,,,,,,,,,,,,,,
15.612050228,11,,,,,,,,,,,,,,,,,
15.616228045,10,,,,,,,,,,,,,,,,,
15.620405862,11,,,,,,,,,,,,,,,,,
15.624583679,7,,,,,,,,,,,,,,,,,
15.628761497,9,,,,,,,,,,,,,,,,,
15.632939314,11,,,,,,,,,,,,,,,,,
15.637117131,8,,,,,,,,,,,,,,,,,
15.641294948,9,,,,,,,,,,,,,,,,,
15.645472766,2,,,,,,,,,,,,,,,,,
15.649650583,8,,,,,,,,,,,,,,,,,
15.6538284,7,,,,,,,,,,,,,,,,,
15.658006217,7,,,,,,,,,,,,,,,,,
15.662184035,13,,,,,,,,,,,,,,,,,
15.666361852,4,,,,,,,,,,,,,,,,,
15.670539669,11,,,,,,,,,,,,,,,,,
15.674717486,13,,,,,,,,,,,,,,,,,
15.678895304,10,,,,,,,,,,,,,,,,,
15.683073121,13,,,,,,,,,,,,,,,,,
15.687250938,9,,,,,,,,,,,,,,,,,
15.691428755,13,,,,,,,,,,,,,,,,,
15.695606573,7,,,,,,,,,,,,,,,,,
15.69978439,14,,,,,,,,,,,,,,,,,
15.703962207,3,,,,,,,,,,,,,,,,,
15.708140024,9,,,,,,,,,,,,,,,,,
15.712317842,5,,,,,,,,,,,,,,,,,
15.716495659,8,,,,,,,,,,,,,,,,,
15.720673476,4,,,,,,,,,,,,,,,,,
15.724851293,14,,,,,,,,,,,,,,,,,
15.729029111,8,,,,,,,,,,,,,,,,,
15.733206928,13,,,,,,,,,,,,,,,,,
15.737384745,10,,,,,,,,,,,,,,,,,
15.741562562,10,,,,,,,,,,,,,,,,,
15.74574038,4,,,,,,,,,,,,,,,,,
15.749918197,9,,,,,,,,,,,,,,,,,
15.754096014,5,,,,,,,,,,,,,,,,,
15.758273831,7,,,,,,,,,,,,,,,,,
15.762451649,4,,,,,,,,,,,,,,,,,
15.766629466,3,,,,,,,,,,,,,,,,,
15.770807283,11,,,,,,,,,,,,,,,,,
15.7749851,10,,,,,,,,,,,,,,,,,
15.779162917,8,,,,,,,,,,,,,,,,,
15.783340735,7,,,,,,,,,,,,,,,,,
15.787518552,8,,,,,,,,,,,,,,,,,
15.791696369,10,,,,,,,,,,,,,,,,,
15.795874186,5,,,,,,,,,,,,,,,,,
15.800052004,7,,,,,,,,,,,,,,,,,
15.804229821,8,,,,,,,,,,,,,,,,,
15.808407638,5,,,,,,,,,,,,,,,,,
15.812585455,10,,,,,,,,,,,,,,,,,
15.816763273,8,,,,,,,,,,,,,,,,,
15.82094109,15,,,,,,,,,,,,,,,,,
15.825118907,7,,,,,,,,,,,,,,,,,
15.829296724,11,,,,,,,,,,,,,,,,,
15.833474542,5,,,,,,,,,,,,,,,,,
15.837652359,9,,,,,,,,,,,,,,,,,
15.841830176,8,,,,,,,,,,,,,,,,,
15.846007993,4,,,,,,,,,,,,,,,,,
15.850185811,7,,,,,,,,,,,,,,,,,
15.854363628,7,,,,,,,,,,,,,,,,,
15.858541445,8,,,,,,,,,,,,,,,,,
15.862719262,9,,,,,,,,,,,,,,,,,
15.86689708,3,,,,,,,,,,,,,,,,,
15.871074897,11,,,,,,,,,,,,,,,,,
15.875252714,5,,,,,,,,,,,,,,,,,
15.879430531,7,,,,,,,,,,,,,,,,,
15.883608349,0,,,,,,,,,,,,,,,,,
15.887786166,9,,,,,,,,,,,,,,,,,
15.891963983,8,,,,,,,,,,,,,,,,,
15.8961418,14,,,,,,,,,,,,,,,,,
15.900319618,7,,,,,,,,,,,,,,,,,
15.904497435,10,,,,,,,,,,,,,,,,,
15.908675252,5,,,,,,,,,,,,,,,,,
15.912853069,4,,,,,,,,,,,,,,,,,
15.917030887,7,,,,,,,,,,,,,,,,,
15.921208704,8,,,,,,,,,,,,,,,,,
15.925386521,8,,,,,,,,,,,,,,,,,
15.929564338,4,,,,,,,,,,,,,,,,,
15.933742156,4,,,,,,,,,,,,,,,,,
15.937919973,11,,,,,,,,,,,,,,,,,
15.94209779,10,,,,,,,,,,,,,,,,,
15.946275607,13,,,,,,,,,,,,,,,,,
15.950453425,4,,,,,,,,,,,,,,,,,
15.954631242,8,,,,,,,,,,,,,,,,,
15.958809059,2,,,,,,,,,,,,,,,,,
15.962986876,10,,,,,,,,,,,,,,,,,
