Angle,Intensity
17.291291094,9
17.299646728,18
17.308002363,9
17.316357997,4
17.324713632,0
17.333069266,5
17.341424901,5
17.349780535,4
17.35813617,8
17.366491804,5
17.374847439,5
17.383203073,9
17.391558708,5
17.399914342,6
17.408269977,4
17.416625611,5
17.424981246,2
17.43333688,6
17.441692515,6
17.450048149,5
17.458403784,0
17.466759418,4
17.475115053,10
17.483470687,8
17.491826322,9
17.500181956,8
17.508537591,4
17.516893225,4
17.52524886,12
17.533604494,5
17.541960129,6
17.550315763,1
17.558671398,6
17.567027032,5
17.575382667,8
17.583738301,10
17.592093936,0
17.60044957,6
17.608805205,6
17.617160839,12
17.625516473,2
17.633872108,5
17.642227742,2
17.650583377,6
17.658939011,8
17.667294646,6
17.67565028,2
17.684005915,8
17.692361549,5
17.700717184,5
17.709072818,13
17.717428453,2
17.725784087,4
17.734139722,4
17.742495356,5
17.750850991,5
17.759206625,4
17.76756226,5
17.775917894,2
17.784273529,4
17.792629163,5
17.800984798,5
17.809340432,4
17.817696067,6
17.826051701,6
17.834407336,10
17.84276297,5
17.851118605,6
17.859474239,10
17.867829874,6
17.876185508,5
17.884541143,5
17.892896777,2
17.901252412,8
17.909608046,2
17.917963681,2
17.926319315,5
17.93467495,9
17.943030584,1
17.951386219,2
17.959741853,12
17.968097488,5
17.976453122,9
17.984808756,4
17.993164391,8
18.001520025,1
18.00987566,12
18.018231294,5
18.026586929,0
18.034942563,4
18.043298198,8
18.051653832,13
18.060009467,4
18.068365101,5
18.076720736,9
18.08507637,5
18.093432005,10
18.101787639,9
18.110143274,5
18.118498908,5
18.126854543,6
18.135210177,9
18.143565812,9
18.151921446,6
18.160277081,5
18.168632715,6
18.17698835,4
18.185343984,9
18.193699619,10
18.202055253,4
18.210410888,2
18.218766522,4
18.227122157,1
18.235477791,9
18.243833426,1
18.25218906,5
18.260544695,4
18.268900329,6
18.277255964,10
18.285611598,4
18.293967233,1
18.302322867,5
18.310678502,9
18.319034136,4
18.327389771,5
18.335745405,12
18.34410104,5
18.352456674,9
18.360812308,9
18.369167943,9
18.377523577,6
18.385879212,8
18.394234846,8
18.402590481,5
18.410946115,5
18.41930175,4
18.427657384,5
18.436013019,4
18.444368653,9
18.452724288,4
18.461079922,8
18.469435557,9
18.477791191,5
18.486146826,8
18.49450246,4
18.502858095,0
18.511213729,0
18.519569364,4
18.527924998,1
18.536280633,6
18.544636267,4
18.552991902,5
18.561347536,2
18.569703171,0
18.578058805,9
18.58641444,5
18.594770074,1
18.603125709,4
18.611481343,5
18.619836978,4
18.628192612,12
18.636548247,6
18.644903881,9
18.653259516,5
18.66161515,0
18.669970785,2
18.678326419,9
18.686682054,9
18.695037688,5
18.703393323,4
18.711748957,8
18.720104591,6
18.728460226,4
18.73681586,5
18.745171495,4
18.753527129,8
18.761882764,5
18.770238398,5
18.778594033,4
18.786949667,2
18.795305302,4
18.803660936,10
18.812016571,0
18.820372205,2
18.82872784,6
18.837083474,9
18.845439109,2
18.853794743,6
18.862150378,6
18.870506012,6
18.878861647,4
18.887217281,10
18.895572916,5
18.90392855,6
18.912284185,6
18.920639819,9
18.928995454,8
18.937351088,2
18.945706723,12
18.954062357,6
18.962417992,6
18.970773626,5
18.979129261,5
18.987484895,10
18.99584053,8
19.004196164,1
19.012551799,9
19.020907433,5
19.029263068,1
19.037618702,1
19.045974337,6
19.054329971,4
19.062685606,5
19.07104124,4
19.079396874,2
19.087752509,5
19.096108143,8
19.104463778,6
19.112819412,5
19.121175047,1
19.129530681,2
19.137886316,4
19.14624195,2
19.154597585,5
19.162953219,5
19.171308854,2
19.179664488,5
19.188020123,6
19.196375757,8
19.204731392,2
19.213087026,6
19.221442661,12
19.229798295,5
19.23815393,1
19.246509564,4
19.254865199,5
19.263220833,2
19.271576468,10
19.279932102,6
19.288287737,9
19.296643371,5
19.304999006,6
19.31335464,6
19.321710275,5
19.330065909,5
19.338421544,2
19.346777178,8
19.355132813,2
19.363488447,10
19.371844082,9
19.380199716,8
19.388555351,4
19.396910985,8
19.40526662,1
19.413622254,2
19.421977889,12
19.430333523,1
19.438689157,6
19.447044792,8
19.455400426,6
19.463756061,6
19.472111695,4
19.48046733,16
19.488822964,6
19.497178599,2
19.505534233,4
19.513889868,6
19.522245502,6
19.530601137,8
19.538956771,1
19.547312406,9
19.55566804,4
19.564023675,6
19.572379309,5
19.580734944,9
19.589090578,4
19.597446213,8
19.605801847,9
19.614157482,6
19.622513116,4
19.630868751,6
19.639224385,5
19.64758002,5
19.655935654,5
19.664291289,6
19.672646923,2
19.681002558,4
19.689358192,5
19.697713827,6
19.706069461,5
19.714425096,5
19.72278073,1
19.731136365,4
19.739491999,6
19.747847634,1
19.756203268,8
19.764558903,8
19.772914537,10
19.781270172,6
19.789625806,4
19.79798144,6
19.806337075,8
19.814692709,8
19.823048344,6
19.831403978,6
19.839759613,5
19.848115247,4
19.856470882,4
19.864826516,4
19.873182151,4
19.881537785,4
19.88989342,4
19.898249054,8
19.906604689,1
19.914960323,6
19.923315958,2
19.931671592,5
19.940027227,1
19.948382861,8
19.956738496,2
19.96509413,9
19.973449765,4
19.981805399,1
19.990161034,2
19.998516668,2
20.006872303,8
