Angle,Intensity
11.158255379,9
11.166611014,6
11.174966648,16
11.183322283,10
11.191677917,5
11.200033552,22
11.208389186,5
11.216744821,17
11.225100455,10
11.23345609,5
11.241811724,12
11.250167359,13
11.258522993,9
11.266878628,6
11.275234262,12
11.283589897,6
11.291945531,8
11.300301166,8
11.3086568,10
11.317012435,9
11.325368069,6
11.333723704,9
11.342079338,10
11.350434973,9
11.358790607,8
11.367146242,12
11.375501876,8
11.383857511,13
11.392213145,12
11.40056878,6
11.408924414,8
11.417280049,10
11.425635683,14
11.433991318,5
11.442346952,10
11.450702587,6
11.459058221,6
11.467413855,8
11.47576949,4
11.484125124,9
11.492480759,8
11.500836393,8
11.509192028,4
11.517547662,5
11.525903297,13
11.534258931,8
11.542614566,10
11.5509702,8
11.559325835,8
11.567681469,6
11.576037104,6
11.584392738,4
11.592748373,8
11.601104007,5
11.609459642,10
11.617815276,9
11.626170911,4
11.634526545,12
11.64288218,10
11.651237814,6
11.659593449,6
11.667949083,8
11.676304718,13
11.684660352,13
11.693015987,10
11.701371621,2
11.709727256,10
11.71808289,14
11.726438525,4
11.734794159,9
11.743149794,10
11.751505428,10
11.759861063,4
11.768216697,8
11.776572332,6
11.784927966,5
11.793283601,14
11.801639235,10
11.80999487,4
11.818350504,8
11.826706138,9
11.835061773,10
11.843417407,14
11.851773042,8
11.860128676,14
11.868484311,10
11.876839945,10
11.88519558,5
11.893551214,6
11.901906849,10
11.910262483,18
11.918618118,9
11.926973752,12
11.935329387,8
11.943685021,6
11.952040656,5
11.96039629,12
11.968751925,13
11.977107559,10
11.985463194,6
11.993818828,5
12.002174463,10
12.010530097,13
12.018885732,4
12.027241366,10
12.035597001,12
12.043952635,12
12.05230827,6
12.060663904,4
12.069019539,9
12.077375173,1
12.085730808,6
12.094086442,4
12.102442077,8
12.110797711,8
12.119153346,9
12.12750898,2
12.135864615,5
12.144220249,8
12.152575884,8
12.160931518,9
12.169287153,5
12.177642787,9
12.185998421,6
12.194354056,8
12.20270969,5
12.211065325,13
12.219420959,8
12.227776594,2
12.236132228,12
12.244487863,12
12.252843497,9
12.261199132,5
12.269554766,6
12.277910401,20
12.286266035,6
12.29462167,10
12.302977304,13
12.311332939,4
12.319688573,5
12.328044208,10
12.336399842,14
12.344755477,17
12.353111111,8
12.361466746,2
12.36982238,8
12.378178015,12
12.386533649,4
12.394889284,12
12.403244918,12
12.411600553,8
12.419956187,4
12.428311822,10
12.436667456,6
12.445023091,6
12.453378725,13
12.46173436,9
12.470089994,9
12.478445629,9
12.486801263,9
12.495156898,13
12.503512532,12
12.511868167,12
12.520223801,9
12.528579436,9
12.53693507,8
12.545290704,10
12.553646339,9
12.562001973,5
12.570357608,8
12.578713242,4
12.587068877,9
12.595424511,10
12.603780146,9
12.61213578,13
12.620491415,4
12.628847049,5
12.637202684,6
12.645558318,12
12.653913953,10
12.662269587,5
