Divergence slit,Fixed,0.19mm,,,,,,,,,,,,,,69.1631,34.58155,0.603561908,1.226481993,1.50425808,16.427,24.71044749,4.970960419
Monochromator used,NO,,,,,,,,,,,,,,,88.0468,44.0234,0.768353278,1.001687748,1.003378345,24.623,24.70618498,4.97053166
Generator voltage,45,,,,,,,,,,,,,,,,,,,,,,
Tube current,40,,,,,,,,,,,,,,,,,,,,,,
File date and time,11/6/2018 9:22,,,,,,,,,,,,,,,,,,,,,,
Unit cell,,,,,,,,,,,,,,,,,,,,,,,
h k l, 0 0 0,,,,,,,,,,,,,,,,,,,,,,
Scan axis,Gonio,,,,,,,,,,,,,,,,,,,,,,
Scan range,10.001,149.9996559,,,,,,,,,,,,,,,,,,,,,
Scan step size,0.0083556,,,,,,,,,,,,,,,,,,,,,,
No. of points,16755,,,,,,,,,,,,,,,,,,,,,,
Scan type,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,
Phi,0,,,,,,,,,,,,,,,,,,,,,,
Time per step,1.905,,,,,,,,,,,,,,,,,,,,,,
[Scan points],,,,,,,,,,,,,,,,,,,,,,,
Angle,Intensity,,,,,,,,,,,,,,,,,,,,,,
22.80600986,8,,,,,,,,,,,,,,,,,,,,,,
22.81436549,0,,,,,,,,,,,,,,,,,,,,,,
22.82272113,2,,,,,,,,,,,,,,,,,,,,,,
22.83107676,2,,,,,,,,,,,,,,,,,,,,,,
22.83943239,12,,,,,,,,,,,,,,,,,,,,,,
22.84778803,8,,,,,,,,,,,,,,,,,,,,,,
22.85614366,1,,,,,,,,,,,,,,,,,,,,,,
22.8644993,8,,,,,,,,,,,,,,,,,,,,,,
22.87285493,4,,,,,,,,,,,,,,,,,,,,,,
22.88121057,0,,,,,,,,,,,,,,,,,,,,,,
22.8895662,6,,,,,,,,,,,,,,,,,,,,,,
22.89792184,6,,,,,,,,,,,,,,,,,,,,,,
22.90627747,2,,,,,,,,,,,,,,,,,,,,,,
22.91463311,4,,,,,,,,,,,,,,,,,,,,,,
22.92298874,6,,,,,,,,,,,,,,,,,,,,,,
22.93134437,8,,,,,,,,,,,,,,,,,,,,,,
22.93970001,5,,,,,,,,,,,,,,,,,,,,,,
22.94805564,8,,,,,,,,,,,,,,,,,,,,,,
22.95641128,2,,,,,,,,,,,,,,,,,,,,,,
22.96476691,0,,,,,,,,,,,,,,,,,,,,,,
22.97312255,5,,,,,,,,,,,,,,,,,,,,,,
22.98147818,4,,,,,,,,,,,,,,,,,,,,,,
22.98983382,2,,,,,,,,,,,,,,,,,,,,,,
22.99818945,8,,,,,,,,,,,,,,,,,,,,,,
23.00654508,4,,,,,,,,,,,,,,,,,,,,,,
23.01490072,6,,,,,,,,,,,,,,,,,,,,,,
23.02325635,5,,,,,,,,,,,,,,,,,,,,,,
23.03161199,5,,,,,,,,,,,,,,,,,,,,,,
23.03996762,4,,,,,,,,,,,,,,,,,,,,,,
23.04832326,1,,,,,,,,,,,,,,,,,,,,,,
23.05667889,6,,,,,,,,,,,,,,,,,,,,,,
23.06503453,5,,,,,,,,,,,,,,,,,,,,,,
23.07339016,2,,,,,,,,,,,,,,,,,,,,,,
23.08174579,5,,,,,,,,,,,,,,,,,,,,,,
23.09010143,12,,,,,,,,,,,,,,,,,,,,,,
23.09845706,13,,,,,,,,,,,,,,,,,,,,,,
23.1068127,8,,,,,,,,,,,,,,,,,,,,,,
23.11516833,2,,,,,,,,,,,,,,,,,,,,,,
23.12352397,2,,,,,,,,,,,,,,,,,,,,,,
23.1318796,1,,,,,,,,,,,,,,,,,,,,,,
23.14023524,6,,,,,,,,,,,,,,,,,,,,,,
23.14859087,2,,,,,,,,,,,,,,,,,,,,,,
23.15694651,8,,,,,,,,,,,,,,,,,,,,,,
23.16530214,1,,,,,,,,,,,,,,,,,,,,,,
23.17365777,2,,,,,,,,,,,,,,,,,,,,,,
23.18201341,4,,,,,,,,,,,,,,,,,,,,,,
23.19036904,6,,,,,,,,,,,,,,,,,,,,,,
23.19872468,1,,,,,,,,,,,,,,,,,,,,,,
23.20708031,2,,,,,,,,,,,,,,,,,,,,,,
23.21543595,5,,,,,,,,,,,,,,,,,,,,,,
23.22379158,6,,,,,,,,,,,,,,,,,,,,,,
23.23214722,0,,,,,,,,,,,,,,,,,,,,,,
23.24050285,1,,,,,,,,,,,,,,,,,,,,,,
23.24885848,5,,,,,,,,,,,,,,,,,,,,,,
23.25721412,1,,,,,,,,,,,,,,,,,,,,,,
23.26556975,8,,,,,,,,,,,,,,,,,,,,,,
23.27392539,8,,,,,,,,,,,,,,,,,,,,,,
23.28228102,6,,,,,,,,,,,,,,,,,,,,,,
23.29063666,1,,,,,,,,,,,,,,,,,,,,,,
23.29899229,4,,,,,,,,,,,,,,,,,,,,,,
23.30734793,5,,,,,,,,,,,,,,,,,,,,,,
23.31570356,4,,,,,,,,,,,,,,,,,,,,,,
23.3240592,5,,,,,,,,,,,,,,,,,,,,,,
23.33241483,5,,,,,,,,,,,,,,,,,,,,,,
23.34077046,9,,,,,,,,,,,,,,,,,,,,,,
23.3491261,2,,,,,,,,,,,,,,,,,,,,,,
23.35748173,1,,,,,,,,,,,,,,,,,,,,,,
23.36583737,8,,,,,,,,,,,,,,,,,,,,,,
23.374193,2,,,,,,,,,,,,,,,,,,,,,,
23.38254864,2,,,,,,,,,,,,,,,,,,,,,,
23.39090427,2,,,,,,,,,,,,,,,,,,,,,,
23.39925991,0,,,,,,,,,,,,,,,,,,,,,,
23.40761554,4,,,,,,,,,,,,,,,,,,,,,,
23.41597117,1,,,,,,,,,,,,,,,,,,,,,,
23.42432681,6,,,,,,,,,,,,,,,,,,,,,,
23.43268244,2,,,,,,,,,,,,,,,,,,,,,,
23.44103808,6,,,,,,,,,,,,,,,,,,,,,,
23.44939371,4,,,,,,,,,,,,,,,,,,,,,,
23.45774935,4,,,,,,,,,,,,,,,,,,,,,,
23.46610498,5,,,,,,,,,,,,,,,,,,,,,,
23.47446062,2,,,,,,,,,,,,,,,,,,,,,,
23.48281625,6,,,,,,,,,,,,,,,,,,,,,,
23.49117188,2,,,,,,,,,,,,,,,,,,,,,,
23.49952752,6,,,,,,,,,,,,,,,,,,,,,,
23.50788315,2,,,,,,,,,,,,,,,,,,,,,,
23.51623879,6,,,,,,,,,,,,,,,,,,,,,,
23.52459442,1,,,,,,,,,,,,,,,,,,,,,,
23.53295006,4,,,,,,,,,,,,,,,,,,,,,,
23.54130569,6,,,,,,,,,,,,,,,,,,,,,,
23.54966133,6,,,,,,,,,,,,,,,,,,,,,,
23.55801696,6,,,,,,,,,,,,,,,,,,,,,,
23.5663726,6,,,,,,,,,,,,,,,,,,,,,,
23.57472823,5,,,,,,,,,,,,,,,,,,,,,,
23.58308386,4,,,,,,,,,,,,,,,,,,,,,,
23.5914395,4,,,,,,,,,,,,,,,,,,,,,,
23.59979513,5,,,,,,,,,,,,,,,,,,,,,,
23.60815077,2,,,,,,,,,,,,,,,,,,,,,,
23.6165064,2,,,,,,,,,,,,,,,,,,,,,,
23.62486204,6,,,,,,,,,,,,,,,,,,,,,,
23.63321767,4,,,,,,,,,,,,,,,,,,,,,,
23.64157331,8,,,,,,,,,,,,,,,,,,,,,,
23.64992894,2,,,,,,,,,,,,,,,,,,,,,,
23.65828457,4,,,,,,,,,,,,,,,,,,,,,,
23.66664021,4,,,,,,,,,,,,,,,,,,,,,,
23.67499584,4,,,,,,,,,,,,,,,,,,,,,,
23.68335148,2,,,,,,,,,,,,,,,,,,,,,,
23.69170711,6,,,,,,,,,,,,,,,,,,,,,,
23.70006275,9,,,,,,,,,,,,,,,,,,,,,,
23.70841838,6,,,,,,,,,,,,,,,,,,,,,,
23.71677402,9,,,,,,,,,,,,,,,,,,,,,,
23.72512965,1,,,,,,,,,,,,,,,,,,,,,,
23.73348529,1,,,,,,,,,,,,,,,,,,,,,,
23.74184092,2,,,,,,,,,,,,,,,,,,,,,,
23.75019655,4,,,,,,,,,,,,,,,,,,,,,,
23.75855219,1,,,,,,,,,,,,,,,,,,,,,,
23.76690782,9,,,,,,,,,,,,,,,,,,,,,,
23.77526346,2,,,,,,,,,,,,,,,,,,,,,,
23.78361909,4,,,,,,,,,,,,,,,,,,,,,,
23.79197473,4,,,,,,,,,,,,,,,,,,,,,,
23.80033036,4,,,,,,,,,,,,,,,,,,,,,,
23.808686,9,,,,,,,,,,,,,,,,,,,,,,
23.81704163,4,,,,,,,,,,,,,,,,,,,,,,
23.82539726,5,,,,,,,,,,,,,,,,,,,,,,
23.8337529,1,,,,,,,,,,,,,,,,,,,,,,
23.84210853,4,,,,,,,,,,,,,,,,,,,,,,
23.85046417,1,,,,,,,,,,,,,,,,,,,,,,
23.8588198,6,,,,,,,,,,,,,,,,,,,,,,
23.86717544,10,,,,,,,,,,,,,,,,,,,,,,
23.87553107,2,,,,,,,,,,,,,,,,,,,,,,
23.88388671,8,,,,,,,,,,,,,,,,,,,,,,
23.89224234,4,,,,,,,,,,,,,,,,,,,,,,
23.90059797,1,,,,,,,,,,,,,,,,,,,,,,
23.90895361,5,,,,,,,,,,,,,,,,,,,,,,
23.91730924,1,,,,,,,,,,,,,,,,,,,,,,
23.92566488,1,,,,,,,,,,,,,,,,,,,,,,
23.93402051,5,,,,,,,,,,,,,,,,,,,,,,
23.94237615,5,,,,,,,,,,,,,,,,,,,,,,
23.95073178,8,,,,,,,,,,,,,,,,,,,,,,
23.95908742,1,,,,,,,,,,,,,,,,,,,,,,
23.96744305,6,,,,,,,,,,,,,,,,,,,,,,
23.97579869,2,,,,,,,,,,,,,,,,,,,,,,
23.98415432,6,,,,,,,,,,,,,,,,,,,,,,
23.99250995,9,,,,,,,,,,,,,,,,,,,,,,
24.00086559,1,,,,,,,,,,,,,,,,,,,,,,
24.00922122,1,,,,,,,,,,,,,,,,,,,,,,
24.01757686,1,,,,,,,,,,,,,,,,,,,,,,
24.02593249,1,,,,,,,,,,,,,,,,,,,,,,
24.03428813,0,,,,,,,,,,,,,,,,,,,,,,
24.04264376,6,,,,,,,,,,,,,,,,,,,,,,
24.0509994,12,,,,,,,,,,,,,,,,,,,,,,
24.05935503,6,,,,,,,,,,,,,,,,,,,,,,
24.06771066,8,,,,,,,,,,,,,,,,,,,,,,
24.0760663,5,,,,,,,,,,,,,,,,,,,,,,
24.08442193,9,,,,,,,,,,,,,,,,,,,,,,
24.09277757,1,,,,,,,,,,,,,,,,,,,,,,
24.1011332,4,,,,,,,,,,,,,,,,,,,,,,
24.10948884,4,,,,,,,,,,,,,,,,,,,,,,
24.11784447,6,,,,,,,,,,,,,,,,,,,,,,
24.12620011,2,,,,,,,,,,,,,,,,,,,,,,
24.13455574,2,,,,,,,,,,,,,,,,,,,,,,
24.14291138,5,,,,,,,,,,,,,,,,,,,,,,
24.15126701,2,,,,,,,,,,,,,,,,,,,,,,
24.15962264,5,,,,,,,,,,,,,,,,,,,,,,
24.16797828,0,,,,,,,,,,,,,,,,,,,,,,
24.17633391,4,,,,,,,,,,,,,,,,,,,,,,
24.18468955,10,,,,,,,,,,,,,,,,,,,,,,
24.19304518,1,,,,,,,,,,,,,,,,,,,,,,
24.20140082,2,,,,,,,,,,,,,,,,,,,,,,
24.20975645,5,,,,,,,,,,,,,,,,,,,,,,
24.21811209,5,,,,,,,,,,,,,,,,,,,,,,
24.22646772,1,,,,,,,,,,,,,,,,,,,,,,
24.23482335,6,,,,,,,,,,,,,,,,,,,,,,
24.24317899,8,,,,,,,,,,,,,,,,,,,,,,
24.25153462,1,,,,,,,,,,,,,,,,,,,,,,
24.25989026,2,,,,,,,,,,,,,,,,,,,,,,
24.26824589,5,,,,,,,,,,,,,,,,,,,,,,
24.27660153,4,,,,,,,,,,,,,,,,,,,,,,
24.28495716,0,,,,,,,,,,,,,,,,,,,,,,
24.2933128,9,,,,,,,,,,,,,,,,,,,,,,
24.30166843,2,,,,,,,,,,,,,,,,,,,,,,
24.31002406,5,,,,,,,,,,,,,,,,,,,,,,
24.3183797,5,,,,,,,,,,,,,,,,,,,,,,
24.32673533,1,,,,,,,,,,,,,,,,,,,,,,
24.33509097,10,,,,,,,,,,,,,,,,,,,,,,
24.3434466,2,,,,,,,,,,,,,,,,,,,,,,
24.35180224,5,,,,,,,,,,,,,,,,,,,,,,
24.36015787,4,,,,,,,,,,,,,,,,,,,,,,
24.36851351,5,,,,,,,,,,,,,,,,,,,,,,
24.37686914,4,,,,,,,,,,,,,,,,,,,,,,
24.38522478,1,,,,,,,,,,,,,,,,,,,,,,
24.39358041,2,,,,,,,,,,,,,,,,,,,,,,
24.40193604,6,,,,,,,,,,,,,,,,,,,,,,
24.41029168,4,,,,,,,,,,,,,,,,,,,,,,
24.41864731,5,,,,,,,,,,,,,,,,,,,,,,
24.42700295,5,,,,,,,,,,,,,,,,,,,,,,
24.43535858,1,,,,,,,,,,,,,,,,,,,,,,
24.44371422,4,,,,,,,,,,,,,,,,,,,,,,
24.45206985,4,,,,,,,,,,,,,,,,,,,,,,
24.46042549,6,,,,,,,,,,,,,,,,,,,,,,
24.46878112,6,,,,,,,,,,,,,,,,,,,,,,
24.47713675,6,,,,,,,,,,,,,,,,,,,,,,
24.48549239,6,,,,,,,,,,,,,,,,,,,,,,
24.49384802,4,,,,,,,,,,,,,,,,,,,,,,
24.50220366,1,,,,,,,,,,,,,,,,,,,,,,
24.51055929,6,,,,,,,,,,,,,,,,,,,,,,
24.51891493,6,,,,,,,,,,,,,,,,,,,,,,
24.52727056,2,,,,,,,,,,,,,,,,,,,,,,
24.5356262,2,,,,,,,,,,,,,,,,,,,,,,
24.54398183,5,,,,,,,,,,,,,,,,,,,,,,
24.55233746,5,,,,,,,,,,,,,,,,,,,,,,
24.5606931,10,,,,,,,,,,,,,,,,,,,,,,
24.56904873,5,,,,,,,,,,,,,,,,,,,,,,
24.57740437,2,,,,,,,,,,,,,,,,,,,,,,
24.58576,5,,,,,,,,,,,,,,,,,,,,,,
24.59411564,9,,,,,,,,,,,,,,,,,,,,,,
24.60247127,5,,,,,,,,,,,,,,,,,,,,,,
24.61082691,4,,,,,,,,,,,,,,,,,,,,,,
24.61918254,2,,,,,,,,,,,,,,,,,,,,,,
24.62753818,2,,,,,,,,,,,,,,,,,,,,,,
24.63589381,4,,,,,,,,,,,,,,,,,,,,,,
24.64424944,2,,,,,,,,,,,,,,,,,,,,,,
24.65260508,2,,,,,,,,,,,,,,,,,,,,,,
24.66096071,4,,,,,,,,,,,,,,,,,,,,,,
24.66931635,4,,,,,,,,,,,,,,,,,,,,,,
24.67767198,9,,,,,,,,,,,,,,,,,,,,,,
24.68602762,4,,,,,,,,,,,,,,,,,,,,,,
24.69438325,5,,,,,,,,,,,,,,,,,,,,,,
24.70273889,6,,,,,,,,,,,,,,,,,,,,,,
24.71109452,1,,,,,,,,,,,,,,,,,,,,,,
24.71945015,4,,,,,,,,,,,,,,,,,,,,,,
24.72780579,1,,,,,,,,,,,,,,,,,,,,,,
24.73616142,4,,,,,,,,,,,,,,,,,,,,,,
24.74451706,2,,,,,,,,,,,,,,,,,,,,,,
24.75287269,6,,,,,,,,,,,,,,,,,,,,,,
24.76122833,4,,,,,,,,,,,,,,,,,,,,,,
24.76958396,6,,,,,,,,,,,,,,,,,,,,,,
24.7779396,5,,,,,,,,,,,,,,,,,,,,,,
24.78629523,5,,,,,,,,,,,,,,,,,,,,,,
24.79465087,5,,,,,,,,,,,,,,,,,,,,,,
24.8030065,5,,,,,,,,,,,,,,,,,,,,,,
24.81136213,10,,,,,,,,,,,,,,,,,,,,,,
24.81971777,8,,,,,,,,,,,,,,,,,,,,,,
24.8280734,2,,,,,,,,,,,,,,,,,,,,,,
24.83642904,5,,,,,,,,,,,,,,,,,,,,,,
24.84478467,1,,,,,,,,,,,,,,,,,,,,,,
24.85314031,4,,,,,,,,,,,,,,,,,,,,,,
24.86149594,6,,,,,,,,,,,,,,,,,,,,,,
24.86985158,1,,,,,,,,,,,,,,,,,,,,,,
24.87820721,4,,,,,,,,,,,,,,,,,,,,,,
24.88656284,4,,,,,,,,,,,,,,,,,,,,,,
24.89491848,2,,,,,,,,,,,,,,,,,,,,,,
24.90327411,4,,,,,,,,,,,,,,,,,,,,,,
24.91162975,2,,,,,,,,,,,,,,,,,,,,,,
24.91998538,1,,,,,,,,,,,,,,,,,,,,,,
24.92834102,8,,,,,,,,,,,,,,,,,,,,,,
24.93669665,9,,,,,,,,,,,,,,,,,,,,,,
24.94505229,4,,,,,,,,,,,,,,,,,,,,,,
24.95340792,6,,,,,,,,,,,,,,,,,,,,,,
24.96176355,4,,,,,,,,,,,,,,,,,,,,,,
24.97011919,4,,,,,,,,,,,,,,,,,,,,,,
24.97847482,5,,,,,,,,,,,,,,,,,,,,,,
24.98683046,2,,,,,,,,,,,,,,,,,,,,,,
24.99518609,1,,,,,,,,,,,,,,,,,,,,,,
25.00354173,4,,,,,,,,,,,,,,,,,,,,,,
25.01189736,4,,,,,,,,,,,,,,,,,,,,,,
25.020253,4,,,,,,,,,,,,,,,,,,,,,,
25.02860863,5,,,,,,,,,,,,,,,,,,,,,,
25.03696427,2,,,,,,,,,,,,,,,,,,,,,,
25.0453199,5,,,,,,,,,,,,,,,,,,,,,,
25.05367553,2,,,,,,,,,,,,,,,,,,,,,,
25.06203117,2,,,,,,,,,,,,,,,,,,,,,,
25.0703868,2,,,,,,,,,,,,,,,,,,,,,,
25.07874244,6,,,,,,,,,,,,,,,,,,,,,,
25.08709807,5,,,,,,,,,,,,,,,,,,,,,,
25.09545371,10,,,,,,,,,,,,,,,,,,,,,,
25.10380934,5,,,,,,,,,,,,,,,,,,,,,,
25.11216498,5,,,,,,,,,,,,,,,,,,,,,,
25.12052061,4,,,,,,,,,,,,,,,,,,,,,,
25.12887624,8,,,,,,,,,,,,,,,,,,,,,,
25.13723188,2,,,,,,,,,,,,,,,,,,,,,,
25.14558751,2,,,,,,,,,,,,,,,,,,,,,,
25.15394315,4,,,,,,,,,,,,,,,,,,,,,,
25.16229878,2,,,,,,,,,,,,,,,,,,,,,,
25.17065442,9,,,,,,,,,,,,,,,,,,,,,,
25.17901005,4,,,,,,,,,,,,,,,,,,,,,,
25.18736569,4,,,,,,,,,,,,,,,,,,,,,,
25.19572132,4,,,,,,,,,,,,,,,,,,,,,,
25.20407696,2,,,,,,,,,,,,,,,,,,,,,,
25.21243259,5,,,,,,,,,,,,,,,,,,,,,,
25.22078822,6,,,,,,,,,,,,,,,,,,,,,,
25.22914386,2,,,,,,,,,,,,,,,,,,,,,,
25.23749949,2,,,,,,,,,,,,,,,,,,,,,,
25.24585513,5,,,,,,,,,,,,,,,,,,,,,,
25.25421076,2,,,,,,,,,,,,,,,,,,,,,,
25.2625664,6,,,,,,,,,,,,,,,,,,,,,,
25.27092203,2,,,,,,,,,,,,,,,,,,,,,,
25.27927767,5,,,,,,,,,,,,,,,,,,,,,,
25.2876333,2,,,,,,,,,,,,,,,,,,,,,,
25.29598893,8,,,,,,,,,,,,,,,,,,,,,,
25.30434457,5,,,,,,,,,,,,,,,,,,,,,,
25.3127002,8,,,,,,,,,,,,,,,,,,,,,,
25.32105584,4,,,,,,,,,,,,,,,,,,,,,,
25.32941147,4,,,,,,,,,,,,,,,,,,,,,,
25.33776711,5,,,,,,,,,,,,,,,,,,,,,,
25.34612274,4,,,,,,,,,,,,,,,,,,,,,,
25.35447838,1,,,,,,,,,,,,,,,,,,,,,,
25.36283401,2,,,,,,,,,,,,,,,,,,,,,,
25.37118964,0,,,,,,,,,,,,,,,,,,,,,,
25.37954528,6,,,,,,,,,,,,,,,,,,,,,,
25.38790091,2,,,,,,,,,,,,,,,,,,,,,,
25.39625655,6,,,,,,,,,,,,,,,,,,,,,,
25.40461218,2,,,,,,,,,,,,,,,,,,,,,,
25.41296782,8,,,,,,,,,,,,,,,,,,,,,,
25.42132345,4,,,,,,,,,,,,,,,,,,,,,,
25.42967909,2,,,,,,,,,,,,,,,,,,,,,,
25.43803472,4,,,,,,,,,,,,,,,,,,,,,,
25.44639036,2,,,,,,,,,,,,,,,,,,,,,,
25.45474599,4,,,,,,,,,,,,,,,,,,,,,,
25.46310162,1,,,,,,,,,,,,,,,,,,,,,,
25.47145726,9,,,,,,,,,,,,,,,,,,,,,,
25.47981289,2,,,,,,,,,,,,,,,,,,,,,,
25.48816853,8,,,,,,,,,,,,,,,,,,,,,,
25.49652416,4,,,,,,,,,,,,,,,,,,,,,,
25.5048798,5,,,,,,,,,,,,,,,,,,,,,,
25.51323543,2,,,,,,,,,,,,,,,,,,,,,,
25.52159107,4,,,,,,,,,,,,,,,,,,,,,,
25.5299467,5,,,,,,,,,,,,,,,,,,,,,,
25.53830233,2,,,,,,,,,,,,,,,,,,,,,,
25.54665797,2,,,,,,,,,,,,,,,,,,,,,,
25.5550136,6,,,,,,,,,,,,,,,,,,,,,,
25.56336924,1,,,,,,,,,,,,,,,,,,,,,,
25.57172487,5,,,,,,,,,,,,,,,,,,,,,,
25.58008051,6,,,,,,,,,,,,,,,,,,,,,,
25.58843614,5,,,,,,,,,,,,,,,,,,,,,,
25.59679178,2,,,,,,,,,,,,,,,,,,,,,,
25.60514741,1,,,,,,,,,,,,,,,,,,,,,,
25.61350304,6,,,,,,,,,,,,,,,,,,,,,,
25.62185868,5,,,,,,,,,,,,,,,,,,,,,,
25.63021431,6,,,,,,,,,,,,,,,,,,,,,,
25.63856995,4,,,,,,,,,,,,,,,,,,,,,,
25.64692558,4,,,,,,,,,,,,,,,,,,,,,,
25.65528122,4,,,,,,,,,,,,,,,,,,,,,,
25.66363685,4,,,,,,,,,,,,,,,,,,,,,,
25.67199249,2,,,,,,,,,,,,,,,,,,,,,,
25.68034812,2,,,,,,,,,,,,,,,,,,,,,,
25.68870376,5,,,,,,,,,,,,,,,,,,,,,,
25.69705939,8,,,,,,,,,,,,,,,,,,,,,,
25.70541502,5,,,,,,,,,,,,,,,,,,,,,,
25.71377066,10,,,,,,,,,,,,,,,,,,,,,,
25.72212629,2,,,,,,,,,,,,,,,,,,,,,,
25.73048193,6,,,,,,,,,,,,,,,,,,,,,,
25.73883756,5,,,,,,,,,,,,,,,,,,,,,,
25.7471932,1,,,,,,,,,,,,,,,,,,,,,,
25.75554883,5,,,,,,,,,,,,,,,,,,,,,,
25.76390447,0,,,,,,,,,,,,,,,,,,,,,,
25.7722601,2,,,,,,,,,,,,,,,,,,,,,,
25.78061573,5,,,,,,,,,,,,,,,,,,,,,,
25.78897137,5,,,,,,,,,,,,,,,,,,,,,,
25.797327,2,,,,,,,,,,,,,,,,,,,,,,
25.80568264,4,,,,,,,,,,,,,,,,,,,,,,
25.81403827,6,,,,,,,,,,,,,,,,,,,,,,
25.82239391,2,,,,,,,,,,,,,,,,,,,,,,
25.83074954,2,,,,,,,,,,,,,,,,,,,,,,
25.83910518,4,,,,,,,,,,,,,,,,,,,,,,
25.84746081,9,,,,,,,,,,,,,,,,,,,,,,
25.85581645,6,,,,,,,,,,,,,,,,,,,,,,
25.86417208,4,,,,,,,,,,,,,,,,,,,,,,
25.87252771,6,,,,,,,,,,,,,,,,,,,,,,
25.88088335,5,,,,,,,,,,,,,,,,,,,,,,
25.88923898,8,,,,,,,,,,,,,,,,,,,,,,
25.89759462,2,,,,,,,,,,,,,,,,,,,,,,
25.90595025,4,,,,,,,,,,,,,,,,,,,,,,
25.91430589,4,,,,,,,,,,,,,,,,,,,,,,
25.92266152,2,,,,,,,,,,,,,,,,,,,,,,
25.93101716,4,,,,,,,,,,,,,,,,,,,,,,
25.93937279,4,,,,,,,,,,,,,,,,,,,,,,
25.94772842,4,,,,,,,,,,,,,,,,,,,,,,
25.95608406,5,,,,,,,,,,,,,,,,,,,,,,
25.96443969,2,,,,,,,,,,,,,,,,,,,,,,
25.97279533,4,,,,,,,,,,,,,,,,,,,,,,
25.98115096,0,,,,,,,,,,,,,,,,,,,,,,
25.9895066,4,,,,,,,,,,,,,,,,,,,,,,
25.99786223,8,,,,,,,,,,,,,,,,,,,,,,
26.00621787,10,,,,,,,,,,,,,,,,,,,,,,
26.0145735,6,,,,,,,,,,,,,,,,,,,,,,
26.02292913,4,,,,,,,,,,,,,,,,,,,,,,
26.03128477,1,,,,,,,,,,,,,,,,,,,,,,
26.0396404,2,,,,,,,,,,,,,,,,,,,,,,
26.04799604,2,,,,,,,,,,,,,,,,,,,,,,
26.05635167,2,,,,,,,,,,,,,,,,,,,,,,
26.06470731,4,,,,,,,,,,,,,,,,,,,,,,
26.07306294,2,,,,,,,,,,,,,,,,,,,,,,
26.08141858,2,,,,,,,,,,,,,,,,,,,,,,
26.08977421,1,,,,,,,,,,,,,,,,,,,,,,
26.09812985,5,,,,,,,,,,,,,,,,,,,,,,
26.10648548,2,,,,,,,,,,,,,,,,,,,,,,
26.11484111,5,,,,,,,,,,,,,,,,,,,,,,
26.12319675,6,,,,,,,,,,,,,,,,,,,,,,
26.13155238,6,,,,,,,,,,,,,,,,,,,,,,
26.13990802,2,,,,,,,,,,,,,,,,,,,,,,
26.14826365,4,,,,,,,,,,,,,,,,,,,,,,
26.15661929,9,,,,,,,,,,,,,,,,,,,,,,
26.16497492,1,,,,,,,,,,,,,,,,,,,,,,
26.17333056,2,,,,,,,,,,,,,,,,,,,,,,
26.18168619,6,,,,,,,,,,,,,,,,,,,,,,
26.19004182,0,,,,,,,,,,,,,,,,,,,,,,
26.19839746,9,,,,,,,,,,,,,,,,,,,,,,
26.20675309,4,,,,,,,,,,,,,,,,,,,,,,
26.21510873,4,,,,,,,,,,,,,,,,,,,,,,
26.22346436,8,,,,,,,,,,,,,,,,,,,,,,
26.23182,9,,,,,,,,,,,,,,,,,,,,,,
26.24017563,8,,,,,,,,,,,,,,,,,,,,,,
26.24853127,2,,,,,,,,,,,,,,,,,,,,,,
26.2568869,1,,,,,,,,,,,,,,,,,,,,,,
26.26524254,1,,,,,,,,,,,,,,,,,,,,,,
26.27359817,4,,,,,,,,,,,,,,,,,,,,,,
26.2819538,6,,,,,,,,,,,,,,,,,,,,,,
26.29030944,6,,,,,,,,,,,,,,,,,,,,,,
26.29866507,2,,,,,,,,,,,,,,,,,,,,,,
26.30702071,8,,,,,,,,,,,,,,,,,,,,,,
26.31537634,1,,,,,,,,,,,,,,,,,,,,,,
26.32373198,4,,,,,,,,,,,,,,,,,,,,,,
26.33208761,4,,,,,,,,,,,,,,,,,,,,,,
26.34044325,4,,,,,,,,,,,,,,,,,,,,,,
26.34879888,9,,,,,,,,,,,,,,,,,,,,,,
26.35715451,10,,,,,,,,,,,,,,,,,,,,,,
26.36551015,4,,,,,,,,,,,,,,,,,,,,,,
26.37386578,4,,,,,,,,,,,,,,,,,,,,,,
26.38222142,6,,,,,,,,,,,,,,,,,,,,,,
26.39057705,5,,,,,,,,,,,,,,,,,,,,,,
26.39893269,5,,,,,,,,,,,,,,,,,,,,,,
26.40728832,6,,,,,,,,,,,,,,,,,,,,,,
26.41564396,2,,,,,,,,,,,,,,,,,,,,,,
26.42399959,5,,,,,,,,,,,,,,,,,,,,,,
26.43235522,4,,,,,,,,,,,,,,,,,,,,,,
26.44071086,10,,,,,,,,,,,,,,,,,,,,,,
26.44906649,1,,,,,,,,,,,,,,,,,,,,,,
26.45742213,8,,,,,,,,,,,,,,,,,,,,,,
26.46577776,2,,,,,,,,,,,,,,,,,,,,,,
26.4741334,6,,,,,,,,,,,,,,,,,,,,,,
26.48248903,6,,,,,,,,,,,,,,,,,,,,,,
26.49084467,2,,,,,,,,,,,,,,,,,,,,,,
26.4992003,2,,,,,,,,,,,,,,,,,,,,,,
26.50755594,6,,,,,,,,,,,,,,,,,,,,,,
26.51591157,9,,,,,,,,,,,,,,,,,,,,,,
26.5242672,5,,,,,,,,,,,,,,,,,,,,,,
26.53262284,4,,,,,,,,,,,,,,,,,,,,,,
