Angle,Intensity
22.928649891,1
22.937005525,0
22.94536116,2
22.953716794,0
22.962072429,1
22.970428063,0
22.978783698,0
22.987139332,1
22.995494967,0
23.003850601,0
23.012206236,1
23.02056187,0
23.028917505,0
23.037273139,1
23.045628774,1
23.053984408,2
23.062340043,0
23.070695677,1
23.079051312,2
23.087406946,1
23.095762581,0
23.104118215,0
23.11247385,0
23.120829484,1
23.129185119,2
23.137540753,4
23.145896388,0
23.154252022,0
23.162607657,0
23.170963291,0
23.179318926,2
23.18767456,0
23.196030195,0
23.204385829,0
23.212741464,2
23.221097098,4
23.229452733,0
23.237808367,0
23.246164002,2
23.254519636,4
23.262875271,2
23.271230905,0
23.279586539,0
23.287942174,0
23.296297808,0
23.304653443,1
23.313009077,0
23.321364712,0
23.329720346,0
23.338075981,0
23.346431615,0
23.35478725,0
23.363142884,0
23.371498519,1
23.379854153,0
23.388209788,0
23.396565422,0
23.404921057,0
23.413276691,1
23.421632326,0
23.42998796,1
23.438343595,0
23.446699229,2
23.455054864,0
23.463410498,2
23.471766133,1
23.480121767,0
23.488477402,2
23.496833036,0
23.505188671,0
23.513544305,1
23.52189994,0
23.530255574,0
23.538611209,2
23.546966843,0
23.555322478,0
23.563678112,0
23.572033747,1
23.580389381,0
23.588745016,0
23.59710065,1
23.605456285,1
23.613811919,0
23.622167554,1
23.630523188,1
23.638878822,0
23.647234457,0
23.655590091,0
23.663945726,1
23.67230136,0
23.680656995,0
23.689012629,2
23.697368264,1
23.705723898,0
23.714079533,0
23.722435167,1
23.730790802,1
23.739146436,0
23.747502071,0
23.755857705,0
23.76421334,0
23.772568974,0
23.780924609,0
23.789280243,0
23.797635878,0
23.805991512,2
23.814347147,0
23.822702781,4
23.831058416,0
23.83941405,0
23.847769685,1
23.856125319,2
23.864480954,0
23.872836588,1
23.881192223,0
23.889547857,0
23.897903492,0
23.906259126,0
23.914614761,0
23.922970395,0
23.93132603,0
23.939681664,1
23.948037299,0
23.956392933,0
23.964748568,0
23.973104202,0
23.981459837,1
23.989815471,0
23.998171105,1
24.00652674,1
24.014882374,0
24.023238009,0
24.031593643,0
24.039949278,1
24.048304912,0
24.056660547,1
24.065016181,0
24.073371816,0
24.08172745,0
24.090083085,0
24.098438719,2
24.106794354,0
24.115149988,0
24.123505623,0
24.131861257,0
24.140216892,1
24.148572526,1
24.156928161,0
24.165283795,1
24.17363943,0
24.181995064,0
24.190350699,2
24.198706333,0
24.207061968,2
24.215417602,0
24.223773237,1
24.232128871,1
24.240484506,0
24.24884014,1
24.257195775,0
24.265551409,1
24.273907044,0
24.282262678,0
24.290618313,0
24.298973947,0
24.307329582,1
24.315685216,0
24.324040851,0
24.332396485,0
24.34075212,1
24.349107754,0
24.357463388,0
24.365819023,0
24.374174657,0
24.382530292,0
24.390885926,0
24.399241561,0
24.407597195,0
24.41595283,0
24.424308464,0
24.432664099,0
24.441019733,0
24.449375368,1
24.457731002,1
24.466086637,0
24.474442271,0
24.482797906,0
24.49115354,0
24.499509175,0
24.507864809,0
24.516220444,0
24.524576078,0
24.532931713,0
24.541287347,0
24.549642982,0
24.557998616,0
24.566354251,0
24.574709885,0
24.58306552,0
24.591421154,0
24.599776789,0
24.608132423,0
24.616488058,0
24.624843692,1
24.633199327,0
24.641554961,0
24.649910596,0
24.65826623,1
24.666621865,1
24.674977499,0
24.683333134,1
24.691688768,0
24.700044403,0
24.708400037,0
24.716755672,0
24.725111306,0
24.73346694,1
24.741822575,1
24.750178209,0
24.758533844,0
24.766889478,0
24.775245113,0
24.783600747,1
24.791956382,0
24.800312016,0
24.808667651,0
24.817023285,0
24.82537892,0
24.833734554,0
24.842090189,0
24.850445823,2
24.858801458,0
24.867157092,1
24.875512727,0
24.883868361,2
24.892223996,1
24.90057963,0
24.908935265,0
24.917290899,0
24.925646534,0
24.934002168,0
24.942357803,0
24.950713437,0
24.959069072,0
24.967424706,0
24.975780341,0
24.984135975,0
24.99249161,0
25.000847244,0
25.009202879,0
25.017558513,0
25.025914148,0
25.034269782,1
25.042625417,0
25.050981051,0
25.059336686,0
25.06769232,1
25.076047955,0
25.084403589,1
25.092759223,0
25.101114858,0
25.109470492,0
25.117826127,0
25.126181761,0
25.134537396,1
25.14289303,0
25.151248665,0
25.159604299,0
25.167959934,0
25.176315568,0
25.184671203,0
25.193026837,1
25.201382472,1
25.209738106,1
25.218093741,0
25.226449375,1
25.23480501,0
25.243160644,1
25.251516279,1
25.259871913,0
25.268227548,0
25.276583182,0
25.284938817,0
25.293294451,0
25.301650086,2
25.31000572,0
25.318361355,0
25.326716989,0
25.335072624,0
25.343428258,0
25.351783893,0
25.360139527,0
25.368495162,0
25.376850796,0
25.385206431,0
25.393562065,0
25.4019177,2
25.410273334,0
25.418628969,0
25.426984603,0
25.435340238,0
25.443695872,0
25.452051506,0
25.460407141,1
25.468762775,1
25.47711841,1
25.485474044,0
25.493829679,0
25.502185313,0
